ts,cfg,epoch,bodies_mean,n_bodies,peak_mib,total_peak_mib
1788543649,rtg_e31_s3,133,12.3,11,4868,12640
1788543775,rtg_e31_s2,131,18.2,18,6074,10386
1788543775,rtg_e31_s3,134,12.05,12,3916,10386
1788543901,rtg_e31_s2,132,18.0,18,4792,9102
1788543901,rtg_e31_s3,135,12.25,12,3914,9102
1788544028,rtg_e31_s2,133,17.8,18,5970,10202
1788544028,rtg_e31_s3,136,12.2,12,3894,10202
1788544157,rtg_e31_s2,135,17.9,17,6220,11492
1788544157,rtg_e31_s3,137,12.8,11,4876,11492
1788544286,rtg_e31_s2,135,17.9,17,6220,11492
1788544286,rtg_e31_s3,137,12.8,11,4876,11492
1788544412,rtg_e31_s2,136,18.05,17,5964,11222
1788544412,rtg_e31_s3,138,12.1,11,4862,11222
1788544539,rtg_e31_s2,137,18.35,17,6046,11310
1788544539,rtg_e31_s3,139,12.35,11,4868,11310
1788544668,rtg_e31_s2,137,18.35,17,6046,11310
1788544668,rtg_e31_s3,139,12.35,11,4874,11310
1788544796,rtg_e31_s2,138,18.35,17,7474,12728
1788544796,rtg_e31_s3,140,12.35,11,4874,12728
1788544923,rtg_e31_s2,139,18.2,17,7474,12728
1788544923,rtg_e31_s3,141,12.25,11,4858,12728
1788545049,rtg_e31_s2,141,18.0,17,5964,10266
1788545049,rtg_e31_s3,143,12.1,11,3906,10266
1788545175,rtg_e31_s2,142,18.1,17,4820,11038
1788545175,rtg_e31_s3,143,12.1,11,5822,11038
1788545301,rtg_e31_s2,143,18.1,18,7332,13548
1788545301,rtg_e31_s3,144,12.25,11,5822,13548
1788545428,rtg_e31_s2,143,18.1,18,8854,15036
1788545428,rtg_e31_s3,145,12.5,12,5786,15036
1788545556,rtg_e31_s2,144,17.75,18,8854,15036
1788545556,rtg_e31_s3,146,12.1,12,5786,15036
1788545682,rtg_e31_s2,145,17.9,18,6030,12226
1788545682,rtg_e31_s3,147,12.05,12,5800,12226
1788545808,rtg_e31_s2,146,17.85,18,6030,12102
1788545808,rtg_e31_s3,148,12.05,12,5774,12102
1788545935,rtg_e31_s2,147,18.05,18,5932,10800
1788545935,rtg_e31_s3,149,12.1,12,5794,10800
1788546061,rtg_e31_s2,148,17.7,18,5942,12132
1788546061,rtg_e31_s3,150,11.95,12,5794,12132
1788546187,rtg_e31_s2,149,17.95,18,6024,10316
1788546187,rtg_e31_s3,151,12.05,12,4822,10316
